time,power_variable,energy_variable,energy_value,power_value,expected_power,difference_from_expected
2022-10-13 17:01:00,PowerIn_ERTank2,EnergyIn_ERTank2,,0.0,,
2022-10-13 17:01:00,PowerIn_HPWH,EnergyIn_HPWH,,12.0,,
2022-10-13 17:02:00,PowerIn_HPWH,EnergyIn_HPWH,0.20000000000436557,13.5,12.000000000261934,1.4999999997380655
2022-10-13 17:03:00,PowerIn_HPWH,EnergyIn_HPWH,0.19999999999708962,14.5,11.999999999825377,2.500000000174623
2022-10-13 17:04:00,PowerIn_HPWH,EnergyIn_HPWH,0.19999999999708962,9.6,11.999999999825377,2.3999999998253774
2022-10-13 17:05:00,PowerIn_HPWH,EnergyIn_HPWH,0.20000000000436557,10.1,12.000000000261934,1.9000000002619348
2022-10-13 17:06:00,PowerIn_HPWH,EnergyIn_HPWH,0.19999999999708962,10.0,11.999999999825377,1.999999999825377
2022-10-13 17:07:00,PowerIn_HPWH,EnergyIn_HPWH,0.09999999999854481,9.8,5.9999999999126885,3.800000000087312
2022-10-13 17:08:00,PowerIn_HPWH,EnergyIn_HPWH,0.20000000000436557,9.6,12.000000000261934,2.400000000261935
2022-10-13 17:09:00,PowerIn_HPWH,EnergyIn_HPWH,0.09999999999854481,9.3,5.9999999999126885,3.300000000087312
2022-10-13 17:10:00,PowerIn_HPWH,EnergyIn_HPWH,0.19999999999708962,9.0,11.999999999825377,2.999999999825377
2022-10-13 17:11:00,PowerIn_HPWH,EnergyIn_HPWH,0.20000000000436557,10.1,12.000000000261934,1.9000000002619348
2022-10-13 17:12:00,PowerIn_HPWH,EnergyIn_HPWH,0.09999999999854481,10.6,5.9999999999126885,4.600000000087311
2022-10-13 17:13:00,PowerIn_HPWH,EnergyIn_HPWH,0.19999999999708962,10.7,11.999999999825377,1.2999999998253777
2022-10-13 17:14:00,PowerIn_HPWH,EnergyIn_HPWH,0.20000000000436557,10.2,12.000000000261934,1.8000000002619352
2022-10-13 17:15:00,PowerIn_HPWH,EnergyIn_HPWH,0.19999999999708962,9.6,11.999999999825377,2.3999999998253774
2022-10-13 17:16:00,PowerIn_HPWH,EnergyIn_HPWH,0.09999999999854481,9.9,5.9999999999126885,3.900000000087312
2022-10-13 17:17:00,PowerIn_HPWH,EnergyIn_HPWH,0.20000000000436557,9.8,12.000000000261934,2.2000000002619338
2022-10-13 17:18:00,PowerIn_HPWH,EnergyIn_HPWH,0.09999999999854481,9.8,5.9999999999126885,3.800000000087312
2022-10-13 17:19:00,PowerIn_HPWH,EnergyIn_HPWH,0.19999999999708962,9.8,11.999999999825377,2.1999999998253763
2022-10-13 17:20:00,PowerIn_HPWH,EnergyIn_HPWH,0.10000000000582077,9.6,6.000000000349246,3.5999999996507537
2022-10-13 17:21:00,PowerIn_HPWH,EnergyIn_HPWH,0.19999999999708962,9.4,11.999999999825377,2.5999999998253767
2022-10-13 17:22:00,PowerIn_HPWH,EnergyIn_HPWH,0.19999999999708962,9.2,11.999999999825377,2.7999999998253777
2022-10-13 17:23:00,PowerIn_HPWH,EnergyIn_HPWH,0.10000000000582077,9.3,6.000000000349246,3.2999999996507547
2022-10-13 17:24:00,PowerIn_HPWH,EnergyIn_HPWH,0.19999999999708962,11.8,11.999999999825377,0.1999999998253763
2022-10-13 17:25:00,PowerIn_HPWH,EnergyIn_HPWH,0.19999999999708962,13.1,11.999999999825377,1.1000000001746226
2022-10-13 17:26:00,PowerIn_HPWH,EnergyIn_HPWH,0.20000000000436557,14.9,12.000000000261934,2.899999999738066
2022-10-13 17:27:00,PowerIn_HPWH,EnergyIn_HPWH,0.2999999999956344,14.8,17.999999999738066,3.199999999738065
2022-10-13 17:28:00,PowerIn_HPWH,EnergyIn_HPWH,0.20000000000436557,15.0,12.000000000261934,2.9999999997380655
2022-10-13 17:29:00,PowerIn_HPWH,EnergyIn_HPWH,0.2999999999956344,14.3,17.999999999738066,3.699999999738065
2022-10-13 17:30:00,PowerIn_HPWH,EnergyIn_HPWH,0.20000000000436557,13.5,12.000000000261934,1.4999999997380655
2022-10-13 17:31:00,PowerIn_HPWH,EnergyIn_HPWH,0.19999999999708962,12.3,11.999999999825377,0.3000000001746237
2022-10-13 17:32:00,PowerIn_HPWH,EnergyIn_HPWH,0.20000000000436557,12.0,12.000000000261934,2.6193447411060333e-10
2022-10-13 17:33:00,PowerIn_HPWH,EnergyIn_HPWH,0.2999999999956344,12.0,17.999999999738066,5.9999999997380655
2022-10-13 17:34:00,PowerIn_HPWH,EnergyIn_HPWH,0.09999999999854481,11.9,5.9999999999126885,5.900000000087312
2022-10-13 17:35:00,PowerIn_HPWH,EnergyIn_HPWH,0.20000000000436557,12.1,12.000000000261934,0.09999999973806517
2022-10-13 17:36:00,PowerIn_HPWH,EnergyIn_HPWH,0.19999999999708962,13.7,11.999999999825377,1.7000000001746223
2022-10-13 17:37:00,PowerIn_HPWH,EnergyIn_HPWH,0.3000000000029104,11.8,18.000000000174623,6.200000000174622
2022-10-13 17:38:00,PowerIn_HPWH,EnergyIn_HPWH,0.09999999999854481,9.8,5.9999999999126885,3.800000000087312
2022-10-13 17:39:00,PowerIn_HPWH,EnergyIn_HPWH,0.19999999999708962,9.9,11.999999999825377,2.0999999998253767
2022-10-13 17:40:00,PowerIn_HPWH,EnergyIn_HPWH,0.10000000000582077,9.7,6.000000000349246,3.6999999996507533
2022-10-13 17:41:00,PowerIn_HPWH,EnergyIn_HPWH,0.19999999999708962,9.5,11.999999999825377,2.499999999825377
