time,id,data,type,units
2022-10-13 17:02:00,Temp_HPWHInlet,84.0,Temperature,F
2022-10-13 17:02:00,Temp_HPWHOutlet,157.0,Temperature,F
2022-10-13 17:02:00,Duty_QAHVPump,29.0,,%
2022-10-13 17:02:00,Temp5_ST1_low,68.4,Temperature,F
2022-10-13 17:02:00,Temp4_ST1,107.7,Temperature,F
2022-10-13 17:02:00,Temp3_ST1,128.6,Temperature,F
2022-10-13 17:02:00,Temp2_ST1,140.4,Temperature,F
2022-10-13 17:02:00,Temp1_ST1_high,143.7,Temperature,F
2022-10-13 17:02:00,Temp4_ST2,101.8,Temperature,F
2022-10-13 17:02:00,Temp2_ST2,144.0,Temperature,F
2022-10-13 17:02:00,Temp5_ST3_low,67.7,Temperature,F
2022-10-13 17:02:00,Temp4_ST3,95.4,Temperature,F
2022-10-13 17:02:00,Temp3_ST3,122.1,Temperature,F
2022-10-13 17:02:00,Temp2_ST3,143.9,Temperature,F
2022-10-13 17:02:00,Temp1_ST3_high,148.4,Temperature,F
2022-10-13 17:02:00,Temp_SecLoopHexInlet,66.4,Temperature,F
2022-10-13 17:02:00,Temp_SecLoopHexOutlet,145.7,Temperature,F
2022-10-13 17:02:00,Flow_SecLoop,2.6,Flow,gal/min
2022-10-13 17:02:00,PowerIn_SecLoopPump,7.0,Power,W
2022-10-13 17:03:00,Temp_PrimaryPlantDelta_BTU,83.5,Temperature,F
2022-10-13 17:03:00,EnergyOut_PrimaryPlant_BTU,33.4,Energy,kWh
2022-10-13 17:03:00,Flow_CityWater_atSkid,1.1,Flow,gal/min
2022-10-13 17:03:00,Temp_CityWater_atSkid,65.3,Temperature,F
2022-10-13 17:03:00,Temp_PrimaryStorageOutTop,148.8,Temperature,F
2022-10-13 17:03:00,Flow_CityWater,2.3,Flow,gal/min
2022-10-13 17:03:00,Temp_CityWater,64.6,Temperature,F
2022-10-13 17:03:00,Flow_RecircReturn_MXV1,12.8,Flow,gal/min
2022-10-13 17:03:00,Temp_RecircReturn_MXV1_FM,131.3,Temperature,F
2022-10-13 17:03:00,Flow_RecircReturn_MXV2,12.7,Flow,gal/min
2022-10-13 17:03:00,Temp_RecircReturn_MXV2_FM,120.1,Temperature,F
2022-10-13 17:03:00,Temp_HotStorageInMechRoom,145.2,Temperature,F
2022-10-13 17:03:00,Temp_HotInlet_MXV1,91.1,Temperature,F
2022-10-13 17:03:00,Temp_RecircReturn_MXV1,130.2,Temperature,F
2022-10-13 17:03:00,ValvePosition_MXV1,5.0,,%
2022-10-13 17:03:00,Temp_HotInlet_MXV2,132.1,Temperature,F
2022-10-13 17:03:00,Temp_RecircReturn_MXV2,119.8,Temperature,F
2022-10-13 17:03:00,Temp_RecircSupply_MXV2,120.0,Temperature,F
2022-10-13 17:03:00,EnergyIn_HPWH,64232.0,Energy,kWh
2022-10-13 17:03:00,PowerIn_HPWH,14.5,Power,W
2022-10-13 17:03:00,PowerMeter_SkidAux_Energy,536.8,Energy,kWh
2022-10-13 17:03:00,PowerMeter_SkidAux_Power,0.1,Power,W
